src/restaurantsystem/Main.java:10:	UnnecessaryImport:	UnnecessaryImport: Unused import 'java.nio.file.Files'
src/restaurantsystem/Main.java:20:	MissingSerialVersionUID:	MissingSerialVersionUID: Classes implementing Serializable should set a serialVersionUID
src/restaurantsystem/Main.java:20:	ShortClassName:	ShortClassName: Avoid short class names like Main
src/restaurantsystem/Main.java:31:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'im' could be declared final
src/restaurantsystem/Main.java:31:	ShortVariable:	ShortVariable: Avoid variables with short names like im
src/restaurantsystem/Main.java:32:	UnnecessaryFullyQualifiedName:	UnnecessaryFullyQualifiedName: Unnecessary qualifier 'JFrame': 'WindowConstants::EXIT_ON_CLOSE' is already in scope because it is inherited by an enclosing type
src/restaurantsystem/Main.java:39:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'rootDir' could be declared final
src/restaurantsystem/Main.java:47:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'fileName' could be declared final
src/restaurantsystem/Main.java:48:	AvoidInstantiatingObjectsInLoops:	AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops
src/restaurantsystem/Main.java:48:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'file' could be declared final
src/restaurantsystem/Main.java:54:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/restaurantsystem/MainMenu.java:16:	MissingSerialVersionUID:	MissingSerialVersionUID: Classes implementing Serializable should set a serialVersionUID
src/restaurantsystem/MainMenu.java:21:	CallSuperInConstructor:	CallSuperInConstructor: It is a good practice to call super() in a constructor
src/restaurantsystem/MainMenu.java:22:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: This method may call an overridable method during object construction: JFrame.setDefaultCloseOperation(int) (call stack: [MainMenu.initComponents(), JFrame.setDefaultCloseOperation(int)])
src/restaurantsystem/MainMenu.java:31:	CommentSize:	CommentSize: Comment is too large: Line too long
src/restaurantsystem/MainMenu.java:32:	ExcessiveMethodLength:	ExcessiveMethodLength: Avoid really long methods.
src/restaurantsystem/MainMenu.java:41:	UnnecessaryFullyQualifiedName:	UnnecessaryFullyQualifiedName: Unnecessary qualifier 'javax.swing.WindowConstants': 'EXIT_ON_CLOSE' is already in scope because it is inherited by an enclosing type
src/restaurantsystem/MainMenu.java:54:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'evt' is not assigned and could be declared final
src/restaurantsystem/MainMenu.java:54:	MissingOverride:	MissingOverride: The method 'actionPerformed(ActionEvent)' is missing an @Override annotation.
src/restaurantsystem/MainMenu.java:61:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'evt' is not assigned and could be declared final
src/restaurantsystem/MainMenu.java:61:	MissingOverride:	MissingOverride: The method 'actionPerformed(ActionEvent)' is missing an @Override annotation.
src/restaurantsystem/MainMenu.java:68:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'evt' is not assigned and could be declared final
src/restaurantsystem/MainMenu.java:68:	MissingOverride:	MissingOverride: The method 'actionPerformed(ActionEvent)' is missing an @Override annotation.
src/restaurantsystem/MainMenu.java:73:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'jPanel1Layout' could be declared final
src/restaurantsystem/MainMenu.java:97:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'evt' is not assigned and could be declared final
src/restaurantsystem/MainMenu.java:97:	MissingOverride:	MissingOverride: The method 'actionPerformed(ActionEvent)' is missing an @Override annotation.
src/restaurantsystem/MainMenu.java:102:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'jPanel2Layout' could be declared final
src/restaurantsystem/MainMenu.java:125:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'layout' could be declared final
src/restaurantsystem/MainMenu.java:146:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused method parameters such as 'evt'.
src/restaurantsystem/MainMenu.java:147:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'im' could be declared final
src/restaurantsystem/MainMenu.java:147:	ShortVariable:	ShortVariable: Avoid variables with short names like im
src/restaurantsystem/MainMenu.java:153:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused method parameters such as 'evt'.
src/restaurantsystem/MainMenu.java:154:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'l' could be declared final
src/restaurantsystem/MainMenu.java:154:	ShortVariable:	ShortVariable: Avoid variables with short names like l
src/restaurantsystem/MainMenu.java:159:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused method parameters such as 'evt'.
src/restaurantsystem/MainMenu.java:160:	DoNotTerminateVM:	DoNotTerminateVM: System.exit() should not be used in J2EE/JEE apps
src/restaurantsystem/MainMenu.java:163:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused method parameters such as 'evt'.
src/restaurantsystem/MainMenu.java:164:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'om' could be declared final
src/restaurantsystem/MainMenu.java:164:	ShortVariable:	ShortVariable: Avoid variables with short names like om
src/restaurantsystem/MainMenu.java:174:	CommentSize:	CommentSize: Comment is too large: Line too long
src/restaurantsystem/MainMenu.java:175:	CommentSize:	CommentSize: Comment is too large: Line too long
src/restaurantsystem/MainMenu.java:176:	CommentSize:	CommentSize: Comment is too large: Line too long
src/restaurantsystem/MainMenu.java:179:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'info' could be declared final
src/restaurantsystem/MainMenu.java:180:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/restaurantsystem/MainMenu.java:186:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/restaurantsystem/MainMenu.java:187:	IdenticalCatchBranches:	IdenticalCatchBranches: 'catch' branch identical to 'ClassNotFoundException' branch
src/restaurantsystem/MainMenu.java:188:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/restaurantsystem/MainMenu.java:189:	IdenticalCatchBranches:	IdenticalCatchBranches: 'catch' branch identical to 'ClassNotFoundException' branch
src/restaurantsystem/MainMenu.java:190:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/restaurantsystem/MainMenu.java:191:	IdenticalCatchBranches:	IdenticalCatchBranches: 'catch' branch identical to 'ClassNotFoundException' branch
src/restaurantsystem/MainMenu.java:192:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
